"target,OILPRICE_chg_1"
"target,OILAVG_chg_1"
"target,NONENERG_chg_1"
"target,METAL_chg_1"
"target,FOOD_chg_1"
"target,ENERG_chg_1"
"target,NAPM_chg_1"
"target,CUM_chg_12"
"target,CUT_chg_12"
"target,EMPLOY_chg_12"
"target,H_chg_12"
"target,HG_chg_12"
"target,HS_chg_12"
"target,HSTARTS_chg_12"
"target,IPM_chg_12"
"target,CPI_chg_12"
"target,PCPIX_chg_12"
"target,PPI_chg_12"
"target,PPPIX_chg_12"
"target,SP500_chg_12"
"target,DIV_chg_12"
"target,EAR_chg_12"
"target,DY_chg_12"
"target,PE_chg_12"
"target,HPI_chg_12"
"target,FEDFUNDS_chg_12"
"target,TB3MS_chg_12"
"target,TB6MS_chg_12"
"target,GS1_chg_12"
"target,GS5_chg_12"
"target,T5YFFM_chg_12"
"target,GS10Y_chg_12"
"target,AAA_chg_12"
"target,AAAFFM_chg_12"
"target,BAA_chg_12"
"target,BAAFFM_chg_12"
"target,CPNF3M_chg_12"
"target,TWEXMMTH_chg_12"
"target,EXCAUS_chg_12"
"target,EXJPUS_chg_12"
"target,EXSZUS_chg_12"
"target,EXUSUK_chg_12"
"target,OILPRICE_chg_12"
"target,OILAVG_chg_12"
"target,NONENERG_chg_12"
"target,METAL_chg_12"
"target,FOOD_chg_12"
"target,ENERG_chg_12"
"target,NAPM_chg_12"
